Time[s], Channel 6, Channel 7
0.000000000000000, 1, 1
1.107512000000000, 0, 1
1.107518000000000, 0, 0
1.107522000000000, 1, 0
1.107526000000000, 1, 1
1.107536000000000, 1, 0
1.107540000000000, 0, 0
1.107544000000000, 0, 1
1.107554000000000, 0, 0
1.107558000000000, 1, 0
1.107562000000000, 1, 1
1.107572000000000, 1, 0
1.107574000000000, 0, 0
1.107578000000000, 0, 1
1.107588000000000, 0, 0
1.107596000000000, 0, 1
1.107604000000000, 0, 0
1.107612000000000, 0, 1
1.107622000000000, 0, 0
1.107628000000000, 0, 1
1.107638000000000, 0, 0
1.107642000000000, 1, 0
1.107646000000000, 1, 1
1.107656000000000, 1, 0
1.107658000000000, 0, 0
1.107666000000000, 0, 1
1.107676000000000, 0, 0
1.107684000000000, 0, 1
1.107694000000000, 0, 0
1.107702000000000, 0, 1
1.107710000000000, 0, 0
1.107718000000000, 0, 1
1.107728000000000, 0, 0
1.107736000000000, 0, 1
1.107746000000000, 0, 0
1.107754000000000, 0, 1
1.107764000000000, 0, 0
1.107772000000000, 0, 1
1.107780000000000, 0, 0
1.107788000000000, 0, 1
1.107798000000000, 0, 0
1.107806000000000, 0, 1
1.107816000000000, 1, 0
1.107824000000000, 1, 1
1.107832000000000, 1, 0
1.107842000000000, 0, 0
1.107846000000000, 0, 1
1.107854000000000, 1, 1
1.107896000000000, 0, 1
1.107902000000000, 0, 0
1.107906000000000, 1, 0
1.107912000000000, 1, 1
1.107920000000000, 1, 0
1.107924000000000, 0, 0
1.107928000000000, 0, 1
1.107938000000000, 0, 0
1.107942000000000, 1, 0
1.107946000000000, 1, 1
1.107956000000000, 1, 0
1.107960000000000, 0, 0
1.107962000000000, 0, 1
1.107972000000000, 0, 0
1.107980000000000, 0, 1
1.107990000000000, 0, 0
1.107996000000000, 0, 1
1.108006000000000, 0, 0
1.108014000000000, 0, 1
1.108022000000000, 0, 0
1.108026000000000, 1, 0
1.108032000000000, 1, 1
1.108040000000000, 1, 0
1.108042000000000, 0, 0
1.108050000000000, 0, 1
1.108060000000000, 1, 0
1.108068000000000, 1, 1
1.108078000000000, 1, 0
1.108086000000000, 1, 1
1.108096000000000, 1, 0
1.108102000000000, 1, 1
1.108112000000000, 1, 0
1.108120000000000, 1, 1
1.108130000000000, 1, 0
1.108138000000000, 1, 1
1.108148000000000, 1, 0
1.108156000000000, 1, 1
1.108164000000000, 1, 0
1.108172000000000, 1, 1
1.108182000000000, 1, 0
1.108190000000000, 1, 1
1.108200000000000, 1, 0
1.108208000000000, 1, 1
1.108216000000000, 1, 0
1.108226000000000, 0, 0
1.108230000000000, 0, 1
1.108238000000000, 1, 1
1.108334000000000, 0, 1
1.108338000000000, 0, 0
1.108342000000000, 1, 0
1.108346000000000, 1, 1
1.108350000000000, 1, 0
1.108352000000000, 0, 0
1.108356000000000, 0, 1
1.108364000000000, 0, 0
1.108366000000000, 1, 0
1.108370000000000, 1, 1
1.108376000000000, 1, 0
1.108378000000000, 0, 0
1.108382000000000, 0, 1
1.108386000000000, 0, 0
1.108394000000000, 0, 1
1.108398000000000, 0, 0
1.108406000000000, 0, 1
1.108410000000000, 0, 0
1.108416000000000, 0, 1
1.108424000000000, 0, 0
1.108430000000000, 0, 1
1.108436000000000, 0, 0
1.108442000000000, 0, 1
1.108448000000000, 1, 0
1.108454000000000, 0, 0
1.108456000000000, 0, 1
1.108462000000000, 0, 0
1.108468000000000, 0, 1
1.108474000000000, 0, 0
1.108480000000000, 0, 1
1.108486000000000, 0, 0
1.108492000000000, 0, 1
1.108496000000000, 0, 0
1.108502000000000, 0, 1
1.108508000000000, 0, 0
1.108516000000000, 0, 1
1.108522000000000, 0, 0
1.108528000000000, 0, 1
1.108534000000000, 0, 0
1.108540000000000, 0, 1
1.108544000000000, 0, 0
1.108552000000000, 0, 1
1.108558000000000, 1, 0
1.108566000000000, 1, 1
1.108574000000000, 0, 1
1.108578000000000, 0, 0
1.108582000000000, 1, 0
1.108586000000000, 1, 1
1.108590000000000, 1, 0
1.108594000000000, 0, 0
1.108596000000000, 0, 1
1.108604000000000, 0, 0
1.108606000000000, 1, 0
1.108610000000000, 1, 1
1.108616000000000, 1, 0
1.108618000000000, 0, 0
1.108622000000000, 0, 1
1.108626000000000, 0, 0
1.108634000000000, 0, 1
1.108640000000000, 0, 0
1.108646000000000, 0, 1
1.108650000000000, 0, 0
1.108656000000000, 0, 1
1.108664000000000, 0, 0
1.108666000000000, 1, 0
1.108670000000000, 1, 1
1.108676000000000, 0, 0
1.108682000000000, 0, 1
1.108688000000000, 0, 0
1.108698000000000, 0, 1
1.108704000000000, 0, 0
1.108710000000000, 0, 1
1.108716000000000, 0, 0
1.108724000000000, 0, 1
1.108730000000000, 0, 0
1.108736000000000, 0, 1
1.108742000000000, 0, 0
1.108750000000000, 0, 1
1.108758000000000, 0, 0
1.108764000000000, 0, 1
1.108770000000000, 0, 0
1.108776000000000, 0, 1
1.108784000000000, 0, 0
1.108790000000000, 0, 1
1.108796000000000, 1, 0
1.108800000000000, 0, 0
1.108802000000000, 0, 1
1.108810000000000, 0, 0
1.108814000000000, 1, 0
1.108818000000000, 1, 1
1.108824000000000, 1, 0
1.108830000000000, 1, 1
1.108836000000000, 1, 0
1.108844000000000, 1, 1
1.108850000000000, 1, 0
1.108856000000000, 1, 1
1.108862000000000, 1, 0
1.108870000000000, 1, 1
1.108878000000000, 1, 0
1.108884000000000, 1, 1
1.108890000000000, 1, 0
1.108896000000000, 1, 1
1.108904000000000, 1, 0
1.108910000000000, 1, 1
1.108916000000000, 1, 0
1.108920000000000, 0, 0
1.108922000000000, 0, 1
1.108930000000000, 0, 0
1.108934000000000, 1, 0
1.108938000000000, 1, 1
1.108944000000000, 1, 0
1.108950000000000, 1, 1
1.108956000000000, 1, 0
1.108964000000000, 1, 1
1.108970000000000, 1, 0
1.108976000000000, 1, 1
1.108982000000000, 1, 0
1.108990000000000, 1, 1
1.108998000000000, 1, 0
1.109004000000000, 1, 1
1.109010000000000, 1, 0
1.109016000000000, 1, 1
1.109024000000000, 1, 0
1.109030000000000, 1, 1
1.109036000000000, 1, 0
1.109040000000000, 0, 0
1.109042000000000, 0, 1
1.109050000000000, 0, 0
1.109054000000000, 1, 0
1.109058000000000, 1, 1
1.109064000000000, 1, 0
1.109070000000000, 1, 1
1.109076000000000, 1, 0
1.109084000000000, 1, 1
1.109090000000000, 1, 0
1.109096000000000, 1, 1
1.109102000000000, 1, 0
1.109110000000000, 1, 1
1.109118000000000, 1, 0
1.109124000000000, 1, 1
1.109130000000000, 1, 0
1.109138000000000, 1, 1
1.109144000000000, 1, 0
1.109150000000000, 1, 1
1.109156000000000, 1, 0
1.109160000000000, 0, 0
1.109162000000000, 0, 1
1.109170000000000, 0, 0
1.109174000000000, 1, 0
1.109178000000000, 1, 1
1.109184000000000, 1, 0
1.109190000000000, 1, 1
1.109196000000000, 1, 0
1.109204000000000, 1, 1
1.109210000000000, 1, 0
1.109216000000000, 1, 1
1.109224000000000, 1, 0
1.109230000000000, 1, 1
1.109238000000000, 1, 0
1.109244000000000, 1, 1
1.109250000000000, 1, 0
1.109258000000000, 1, 1
1.109264000000000, 1, 0
1.109270000000000, 1, 1
1.109276000000000, 1, 0
1.109280000000000, 0, 0
1.109282000000000, 0, 1
1.109290000000000, 0, 0
1.109294000000000, 1, 0
1.109298000000000, 1, 1
1.109304000000000, 1, 0
1.109310000000000, 1, 1
1.109316000000000, 1, 0
1.109324000000000, 1, 1
1.109330000000000, 1, 0
1.109336000000000, 1, 1
1.109344000000000, 1, 0
1.109350000000000, 1, 1
1.109358000000000, 1, 0
1.109364000000000, 1, 1
1.109370000000000, 1, 0
1.109378000000000, 1, 1
1.109384000000000, 1, 0
1.109390000000000, 1, 1
1.109396000000000, 1, 0
1.109400000000000, 0, 0
1.109402000000000, 0, 1
1.109410000000000, 0, 0
1.109414000000000, 1, 0
1.109418000000000, 1, 1
1.109424000000000, 1, 0
1.109430000000000, 1, 1
1.109436000000000, 1, 0
1.109444000000000, 1, 1
1.109450000000000, 1, 0
1.109456000000000, 1, 1
1.109464000000000, 1, 0
1.109470000000000, 1, 1
1.109478000000000, 1, 0
1.109484000000000, 1, 1
1.109490000000000, 1, 0
1.109498000000000, 1, 1
1.109504000000000, 1, 0
1.109510000000000, 1, 1
1.109516000000000, 1, 0
1.109520000000000, 0, 0
1.109522000000000, 0, 1
1.109530000000000, 0, 0
1.109538000000000, 0, 1
1.109544000000000, 0, 0
1.109550000000000, 0, 1
1.109556000000000, 0, 0
1.109564000000000, 0, 1
1.109570000000000, 0, 0
1.109576000000000, 0, 1
1.109584000000000, 0, 0
1.109590000000000, 0, 1
1.109598000000000, 0, 0
1.109604000000000, 0, 1
1.109610000000000, 0, 0
1.109618000000000, 0, 1
1.109624000000000, 0, 0
1.109630000000000, 0, 1
1.109636000000000, 0, 0
1.109638000000000, 1, 0
1.109640000000000, 0, 0
1.109642000000000, 0, 1
1.109650000000000, 0, 0
1.109658000000000, 0, 1
1.109664000000000, 0, 0
1.109670000000000, 0, 1
1.109676000000000, 0, 0
1.109678000000000, 1, 0
1.109684000000000, 1, 1
1.109690000000000, 1, 0
1.109692000000000, 0, 0
1.109696000000000, 0, 1
1.109704000000000, 0, 0
1.109710000000000, 0, 1
1.109718000000000, 0, 0
1.109724000000000, 0, 1
1.109730000000000, 0, 0
1.109732000000000, 1, 0
1.109738000000000, 1, 1
1.109744000000000, 0, 0
1.109750000000000, 0, 1
1.109756000000000, 0, 0
1.109758000000000, 1, 0
1.109760000000000, 0, 0
1.109764000000000, 0, 1
1.109770000000000, 0, 0
1.109778000000000, 0, 1
1.109784000000000, 1, 0
1.109790000000000, 1, 1
1.109796000000000, 1, 0
1.109804000000000, 1, 1
1.109810000000000, 1, 0
1.109812000000000, 0, 0
1.109816000000000, 0, 1
1.109824000000000, 0, 0
1.109830000000000, 0, 1
1.109838000000000, 1, 0
1.109844000000000, 1, 1
