Time [s], Analyzer Name, Decoded Protocol Result
2.593035000000000,I2C,0x07 + ACK
2.593155000000000,I2C,0x14 + ACK
2.593275000000000,I2C,0x13 + ACK
2.593395000000000,I2C,0x12 + ACK
2.593515000000000,I2C,0x23 + ACK
2.593635000000000,I2C,0x09 + ACK
2.593755000000000,I2C,0x07 + ACK
2.593875000000000,I2C,0x01 + ACK
2.593995000000000,I2C,0x83 + ACK
2.594115000000000,I2C,0x01 + ACK
2.594235000000000,I2C,0x00 + ACK
2.594355000000000,I2C,0x00 + ACK
2.594475000000000,I2C,0x65 + ACK
2.594595000000000,I2C,0x03 + ACK
2.594715000000000,I2C,0x0C + ACK
2.594835000000000,I2C,0x00 + ACK
2.594970000000000,I2C,0x10 + ACK
2.595090000000000,I2C,0x00 + ACK
2.595210000000000,I2C,0x01 + ACK
2.595330000000000,I2C,0x1D + ACK
2.595455000000000,I2C,0x00 + ACK
2.595570000000000,I2C,0x72 + ACK
2.595690000000000,I2C,0x51 + ACK
2.595810000000000,I2C,0xD0 + ACK
2.595935000000000,I2C,0x1E + ACK
2.596050000000000,I2C,0x20 + ACK
2.596175000000000,I2C,0x6E + ACK
2.596290000000000,I2C,0x28 + ACK
2.596415000000000,I2C,0x55 + ACK
2.596530000000000,I2C,0x00 + ACK
2.596655000000000,I2C,0xE0 + ACK
2.596770000000000,I2C,0x0E + ACK
2.596890000000000,I2C,0x11 + ACK
2.597010000000000,I2C,0x00 + ACK
2.597130000000000,I2C,0x00 + ACK
2.597250000000000,I2C,0x1E + ACK
2.597375000000000,I2C,0x01 + ACK
2.597490000000000,I2C,0x1D + ACK
2.597615000000000,I2C,0x80 + ACK
2.597730000000000,I2C,0x18 + ACK
2.597855000000000,I2C,0x71 + ACK
2.597970000000000,I2C,0x1C + ACK
2.598095000000000,I2C,0x16 + ACK
2.598210000000000,I2C,0x20 + ACK
2.598335000000000,I2C,0x58 + ACK
2.598450000000000,I2C,0x2C + ACK
2.598575000000000,I2C,0x25 + ACK
2.598690000000000,I2C,0x00 + ACK
2.598815000000000,I2C,0xE0 + ACK
2.598930000000000,I2C,0x0E + ACK
2.599050000000000,I2C,0x11 + ACK
2.599170000000000,I2C,0x00 + ACK
2.599295000000000,I2C,0x00 + ACK
2.599410000000000,I2C,0x9E + ACK
2.599535000000000,I2C,0x8C + ACK
2.599650000000000,I2C,0x0A + ACK
2.599775000000000,I2C,0xD0 + ACK
2.599890000000000,I2C,0x8A + ACK
2.600010000000000,I2C,0x20 + ACK
2.600130000000000,I2C,0xE0 + ACK
2.600255000000000,I2C,0x2D + ACK
2.600370000000000,I2C,0x10 + ACK
2.600495000000000,I2C,0x10 + ACK
2.600610000000000,I2C,0x3E + ACK
2.600735000000000,I2C,0x96 + ACK
2.600850000000000,I2C,0x00 + ACK
2.600975000000000,I2C,0xE0 + ACK
2.601090000000000,I2C,0x0E + ACK
2.601215000000000,I2C,0x11 + ACK
2.601335000000000,I2C,0x00 + ACK
2.601455000000000,I2C,0x00 + ACK
2.601575000000000,I2C,0x18 + ACK
2.601695000000000,I2C,0x8C + ACK
2.601815000000000,I2C,0x0A + ACK
2.601935000000000,I2C,0xA0 + ACK
2.602055000000000,I2C,0x14 + ACK
2.602175000000000,I2C,0x51 + ACK
2.602295000000000,I2C,0xF0 + ACK
2.602415000000000,I2C,0x16 + ACK
2.602535000000000,I2C,0x00 + ACK
2.602655000000000,I2C,0x26 + ACK
2.602775000000000,I2C,0x7C + ACK
2.602895000000000,I2C,0x43 + ACK
2.603015000000000,I2C,0x00 + ACK
2.603135000000000,I2C,0xE0 + ACK
2.603255000000000,I2C,0x0E + ACK
2.603375000000000,I2C,0x11 + ACK
2.603495000000000,I2C,0x00 + ACK
2.603615000000000,I2C,0x00 + ACK
2.603735000000000,I2C,0x98 + ACK
2.603855000000000,I2C,0x00 + ACK
2.603975000000000,I2C,0x00 + ACK
2.604095000000000,I2C,0x00 + ACK
2.604215000000000,I2C,0x00 + ACK
2.604335000000000,I2C,0x00 + ACK
2.604455000000000,I2C,0x00 + ACK
2.604575000000000,I2C,0x00 + ACK
2.604695000000000,I2C,0x00 + ACK
2.604815000000000,I2C,0x00 + ACK
2.604935000000000,I2C,0x00 + ACK
2.605055000000000,I2C,0x00 + ACK
2.605175000000000,I2C,0x00 + ACK
2.605295000000000,I2C,0x00 + ACK
2.605415000000000,I2C,0x00 + ACK
2.605535000000000,I2C,0x00 + ACK
2.605655000000000,I2C,0x00 + ACK
2.605775000000000,I2C,0x00 + ACK
2.605895000000000,I2C,0x00 + ACK
2.606015000000000,I2C,0x00 + ACK
2.606135000000000,I2C,0x00 + ACK
2.606255000000000,I2C,0x00 + ACK
2.606375000000000,I2C,0x00 + ACK
2.606495000000000,I2C,0x00 + ACK
2.606615000000000,I2C,0x00 + ACK
2.606735000000000,I2C,0x00 + ACK
2.606855000000000,I2C,0x00 + ACK
