Time [s], Analyzer Name, Decoded Protocol Result
1.608615000000000,I2C,Setup Read to [0xA1] + ACK
1.608760000000000,I2C,0x00 + NAK
1.608970000000000,I2C,Setup Read to [0xA1] + ACK
1.609115000000000,I2C,0xFF + NAK
1.609370000000000,I2C,Setup Write to [0xA0] + ACK
1.609475000000000,I2C,0x00 + ACK
1.609605000000000,I2C,Setup Read to [0xA1] + ACK
1.609720000000000,I2C,0x00 + ACK
1.609835000000000,I2C,0xFF + ACK
1.609955000000000,I2C,0xFF + ACK
1.610075000000000,I2C,0xFF + ACK
1.610195000000000,I2C,0xFF + ACK
1.610315000000000,I2C,0xFF + ACK
1.610435000000000,I2C,0xFF + ACK
1.610555000000000,I2C,0x00 + ACK
1.610675000000000,I2C,0x22 + ACK
1.610795000000000,I2C,0x64 + ACK
1.610915000000000,I2C,0xA3 + ACK
1.611035000000000,I2C,0x1C + ACK
1.611155000000000,I2C,0xC7 + ACK
1.611275000000000,I2C,0xC5 + ACK
1.611395000000000,I2C,0x00 + ACK
1.611515000000000,I2C,0x00 + ACK
1.611635000000000,I2C,0x25 + ACK
1.611755000000000,I2C,0x11 + ACK
1.611875000000000,I2C,0x01 + ACK
1.611995000000000,I2C,0x03 + ACK
1.612115000000000,I2C,0x81 + ACK
1.612235000000000,I2C,0x2F + ACK
1.612355000000000,I2C,0x1D + ACK
1.612475000000000,I2C,0x78 + ACK
1.612595000000000,I2C,0x2A + ACK
1.612715000000000,I2C,0xE5 + ACK
1.612835000000000,I2C,0x25 + ACK
1.612955000000000,I2C,0xA6 + ACK
1.613075000000000,I2C,0x54 + ACK
1.613195000000000,I2C,0x44 + ACK
1.613320000000000,I2C,0xA1 + ACK
1.613440000000000,I2C,0x25 + ACK
1.613560000000000,I2C,0x14 + ACK
1.613680000000000,I2C,0x50 + ACK
1.613800000000000,I2C,0x54 + ACK
1.613920000000000,I2C,0xBF + ACK
1.614040000000000,I2C,0xEF + ACK
1.614160000000000,I2C,0x80 + ACK
1.614280000000000,I2C,0x81 + ACK
1.614400000000000,I2C,0x80 + ACK
1.614520000000000,I2C,0x71 + ACK
1.614640000000000,I2C,0x4F + ACK
1.614760000000000,I2C,0x81 + ACK
1.614880000000000,I2C,0x40 + ACK
1.615000000000000,I2C,0x95 + ACK
1.615120000000000,I2C,0x0F + ACK
1.615240000000000,I2C,0x95 + ACK
1.615360000000000,I2C,0x00 + ACK
1.615480000000000,I2C,0xA9 + ACK
1.615600000000000,I2C,0x40 + ACK
1.615720000000000,I2C,0x01 + ACK
1.615840000000000,I2C,0x01 + ACK
1.615960000000000,I2C,0x01 + ACK
1.616080000000000,I2C,0x01 + ACK
1.616200000000000,I2C,0x21 + ACK
1.616320000000000,I2C,0x39 + ACK
1.616440000000000,I2C,0x90 + ACK
1.616560000000000,I2C,0x30 + ACK
